difficulty,puzzle_id,mask_init_ns,permutation_ns,edge_build_ns,pruning_ns,extraction_ns,total_time_ns
easy,0,153345,35478484,501850394,1578606,8525,541538120
easy,1,84499,20127275,142696612,1220656,8175,165280000
easy,2,81104,12285473,48551900,892667,7142,62506524
easy,3,82964,16191360,118276605,1365293,8917,136999663
easy,4,85339,10361226,56544709,200986,7277,67909272
easy,5,106405,13546023,83442161,667306,7769,98778333
easy,6,80812,27130891,449426875,18010490,8198,496671759
easy,7,78973,6752681,20648753,111775,6573,28134820
easy,8,86523,12474779,76892483,834883,7171,91201267
easy,9,84559,6161839,17267707,173276,10635,24289487
easy,10,84204,13198742,36553359,257517,10708,50815529
easy,11,84444,17913150,150782558,2048327,8707,172020865
easy,12,92289,9334286,47346922,306333,8271,57806791
easy,13,88148,43874139,598462788,2325368,9299,647283584
easy,14,80592,29066022,251386083,1522202,7184,283578945
easy,15,77994,11074780,39746767,497080,7363,52062991
easy,16,81470,22798090,218289719,878977,7209,244251173
easy,17,81444,8996920,29082373,314635,8310,39011383
easy,18,86583,31578549,411951103,7097198,7763,453147995
easy,19,78691,23175230,144447751,1124241,7190,170012207
easy,20,75721,12644139,71937852,666318,7636,86183983
easy,21,93099,17634358,119008718,799142,7461,138975555
easy,22,88463,18309623,178264170,473630,8870,198488276
easy,23,80026,20502392,109660298,1336006,7575,132546409
easy,24,101089,14811616,115118808,229785,11582,131370759
easy,25,104783,20872689,232918100,8342184,11195,264182192
easy,26,84347,35444197,289320594,1959691,8196,328629695
easy,27,81889,18188811,105859508,730012,7277,126092188
easy,28,84199,15290280,109495711,206801,6570,126316468
easy,29,83405,6694080,20782182,176697,11868,28291103
easy,30,364713,9580202,31953793,129515,7601,42672767
easy,31,76904,7166443,19611713,148265,8414,27491659
easy,32,82221,15720034,92972905,5232963,10959,114964038
easy,33,77055,15265116,67953780,1027677,6686,85206026
easy,34,79520,15229243,86263609,5413706,7788,107904297
easy,35,81114,33573085,475400118,612312,7686,511918950
easy,36,80252,17377612,155028392,396021,7382,174100438
easy,37,81600,21360840,324379409,4456662,10362,352192433
easy,38,85418,11783360,61246864,2027872,6566,75914924
easy,39,86929,14341290,90296646,295822,7921,105973615
easy,40,80757,18752530,192782503,1029386,6425,214101587
easy,41,93978,10769138,42815733,153842,6935,54514370
easy,42,85733,36031184,444336164,904380,9304,484568003
easy,43,86766,9300074,33558200,278794,7187,43861468
easy,44,84466,13761899,105261928,872541,9563,120921060
easy,45,81099,8776146,26388109,172518,7079,35945298
easy,46,87344,40784532,597304817,1107222,8548,642562679
easy,47,78332,9319510,40252010,342199,7479,50626478
easy,48,79332,18953381,119339213,395632,6916,139786743
easy,49,82400,15287438,81167601,946649,9104,98387983
easy,50,80934,10784107,54023353,346606,7033,66044720
easy,51,83581,10509441,34940022,238429,7147,46406172
easy,52,79423,16349478,105698198,665465,8784,123759733
easy,53,81789,24086718,225322769,1156275,8556,253156171
easy,54,76538,14099801,69319701,373749,7542,84694378
easy,55,84478,17054173,71161656,543410,6667,89734478
easy,56,87169,16932612,103921753,839272,7796,123095613
easy,57,84092,12335613,64039772,3337545,7348,80704231
easy,58,84056,39652544,611995626,1725036,7731,656507554
easy,59,88111,8066452,16322815,262380,6869,25197495
easy,60,88470,13597770,56305635,473122,6757,71206512
easy,61,85936,20601628,47680629,206055,7201,69300252
easy,62,86423,12248612,65755286,1161313,9814,80059357
easy,63,85724,12723888,66627991,532603,6480,81146926
easy,64,84163,25373519,214863341,2057427,8740,243899813
easy,65,83620,13759041,54617205,115203,6639,69331563
easy,66,87122,12705941,57392080,3071533,10527,74075304
easy,67,93111,31982445,276530865,14679905,7864,324830029
easy,68,79558,18189190,167485518,616415,7826,187609139
easy,69,87789,11223460,46690833,658992,6794,59345384
easy,70,87303,11583200,35567941,252411,8553,48139265
easy,71,89279,8858350,25474977,204244,7608,35180203
easy,72,85448,21819364,98434840,2462699,7393,123837758
easy,73,85255,10101967,38220068,692564,6349,49738586
easy,74,86944,6440756,13918444,199568,8066,21069750
easy,75,85207,44905357,649761269,2664506,9089,700398078
easy,76,85596,13052637,58247207,341350,7262,72444170
easy,77,84747,16821506,134181688,1207157,8274,153477824
easy,78,84121,22810611,220538574,3006123,15204,247933956
easy,79,95058,10592991,59953811,686064,7398,72112388
